id,book_id,isbn,isFiction,all_genres,filtered_genres,top_genre
1,3516056465,8497597729,True,"['to-read', 'currently-reading', 'horror', 'stephen-king', 'fiction', 'owned', 'fantasy', 'favorites', 'books-i-own', 'king', 'default', 'thriller', 'owned-books', 'library', 'supernatural', 'my-books', 'mystery', 'my-library', 'suspense', 'horror-thriller', 'paranormal', 'king-stephen', 'dark-tower', 'sci-fi', 'science-fiction', 'i-own', 'tbr', 'kindle', 'novels', 'audiobook', 'to-buy', 'audiobooks', 'have', 'novel', 'dnf', 'ebooks', 'ebook', 'home-library', 'the-king', 'own-it', 'adult', 'adult-fiction', 'books', 'audio', 'bookshelf', 'hardcover', 'owned-tbr', 'the-dark-tower', 'favourites', 'audible', 'terror', 'horror-suspense', 'on-my-shelf', 'abandoned', 're-read', 'american', 'maine', 'stephen-king-read', 'insomnia', 'stephen-king-books', 'sk', 'mystery-thriller', 'stephenking', 'thriller-horror', 'stories', 'stephen-king-collection', 'ghost', 'did-not-finish', 'audio-books', 'stephen-king-to-read', 'sci-fi-fantasy', 'scary', 'english', 'fiction-horror', 'books-i-have', 'finished', 'paperback', 'horror-fiction', 'general', 'wish-list', 'e-books', 'calibre', 'personal-library', 'stand-alone', 'my-bookshelf', 'thrillers', 'on-my-bookshelf', '1994', 'contemporary', 'steven-king', 'hardback', 'creepy', 'favorite-authors', 'books-owned', 'unread', 'collection', 'general-fiction', 'sub', 'in-my-library', '4-stars']","['horror', 'stephen-king', 'fantasy', 'king', 'thriller', 'supernatural', 'mystery', 'suspense', 'horror-thriller', 'paranormal', 'king-stephen', 'dark-tower', 'sci-fi', 'science-fiction', 'i-own', 'tbr', 'novels', 'have', 'novel', 'dnf', 'home-library', 'the-king', 'own-it', 'adult', 'adult-fiction', 'bookshelf', 'hardcover', 'owned-tbr', 'the-dark-tower', 'audible', 'terror', 'horror-suspense', 'on-my-shelf', 'abandoned', 'american', 'maine', 'stephen-king-read', 'insomnia', 'stephen-king-books', 'sk', 'mystery-thriller', 'stephenking', 'thriller-horror', 'stories', 'stephen-king-collection', 'ghost', 'did-not-finish', 'audio-books', 'stephen-king-to-read', 'sci-fi-fantasy', 'scary', 'fiction-horror', 'books-i-have', 'finished', 'paperback', 'horror-fiction', 'wish-list', 'personal-library', 'stand-alone', 'my-bookshelf', 'thrillers', 'on-my-bookshelf', '1994', 'contemporary', 'steven-king', 'hardback', 'creepy', 'favorite-authors', 'books-owned', 'unread', 'collection', 'general-fiction', 'sub', 'in-my-library', '4-stars']",horror
2,3515123152,1591842808,False,"['to-read', 'currently-reading', 'business', 'leadership', 'non-fiction', 'self-help', 'nonfiction', 'personal-development', 'favorites', 'management', 'self-improvement', 'psychology', 'work', 'audiobook', 'owned', 'professional-development', 'audiobooks', 'self-development', 'audible', 'entrepreneurship', 'business-books', 'professional', 'marketing', 'personal-growth', 'audio', 'career', 'to-buy', 'books-i-own', 'kindle', 'library', 'abandoned', 'business-leadership', 'audio-books', 'productivity', 'audio-book', 'philosophy', 'development', 'work-related', 'growth', 'leadership-management', 'improvement', 'my-library', 'motivation', 'must-read', 'education', 'to-read-business', 'recommended', 'strategy', 'biz', 'inspirational', 'did-not-finish', 'my-books', 'ebook', 'inspiration', 'book-club', 'business-management', 'dnf', 'wish-list', 'startup', 'mindset', 'design', 'next', 'life', '2020-reading-list', 'read-2019', 'to-read-non-fiction', 'coaching', 'creativity', 'read-in-2018', 'read-2018', 'self', 'success', 'entrepreneur', 'communication', '2019-books', 'management-leadership', 'bought', 'purpose', 'unfinished', 'maybe', 'on-hold', 'motivational', 'english', 'default', 'innovation', 'sales', 'product-management', 'blinkist', 'to-read-nonfiction', '2020-books', 'read-in-2019', 'read-in-2017', 'want-to-buy', 'learning', 'listened', 'ebooks', '2018-books', 'business-development', 'economics', 'work-books']","['business', 'leadership', 'self-help', 'personal-development', 'management', 'self-improvement', 'psychology', 'work', 'professional-development', 'self-development', 'audible', 'entrepreneurship', 'business-books', 'professional', 'marketing', 'personal-growth', 'career', 'abandoned', 'business-leadership', 'audio-books', 'productivity', 'audio-book', 'philosophy', 'development', 'work-related', 'growth', 'leadership-management', 'improvement', 'motivation', 'must-read', 'education', 'to-read-business', 'recommended', 'strategy', 'biz', 'inspirational', 'did-not-finish', 'inspiration', 'book-club', 'business-management', 'dnf', 'wish-list', 'startup', 'mindset', 'design', 'next', 'life', '2020-reading-list', 'read-2019', 'to-read-non-fiction', 'coaching', 'creativity', 'read-in-2018', 'read-2018', 'self', 'success', 'entrepreneur', 'communication', '2019-books', 'management-leadership', 'bought', 'purpose', 'unfinished', 'maybe', 'on-hold', 'motivational', 'innovation', 'sales', 'product-management', 'blinkist', 'to-read-nonfiction', '2020-books', 'read-in-2019', 'read-in-2017', 'want-to-buy', 'learning', 'listened', '2018-books', 'business-development', 'economics', 'work-books']",business
3,3515117911,0553587579,True,"['to-read', 'science-fiction', 'sci-fi', 'currently-reading', 'fiction', 'scifi', 'owned', 'asimov', 'sf', 'default', 'favorites', 'isaac-asimov', 'sci-fi-fantasy', 'foundation', 'classics', 'science', 'series', 'space-opera', 'books-i-own', 'fantascienza', 'fantasy', 'ebook', 'kindle', 'scifi-fantasy', 'library', 'novels', 'foundation-series', 'ebooks', 'science-fiction-fantasy', 'ciencia-ficción', 'owned-books', 'to-buy', 'novel', 'my-library', 'space', 'speculative-fiction', 'my-books', 'audiobook', 'books', 'audiobooks', 'ciencia-ficcion', 'sf-fantasy', 'fantasy-sci-fi', 'general', 'classic', 'classic-sci-fi', 'calibre', 'english', 'have', 'adventure', 'asimov-isaac', 'unread', 'sff', 'sciencefiction', 'e-book', 'audio', 'science-fiction-and-fantasy', 'i-own', 'literature', 'paperback', 'american', 'foundation-universe', 'wish-list', 'sci-fi-and-fantasy', 'own-it', 'e-books', 'finished', 'favourites', 'audible', 'on-kindle', 'audio-books', 'fiction-sci-fi', 'robots', 'borrowed', 'asimov-foundation', 'bilim-kurgu', 'hard-sf', 'bookshelf', 'fantasy-sf', 'home-library', 'tbr', 'owned-to-read', 'audio-book', 'a', 'paper', '20th-century', 'hardcover', 'sf-f', 'future', 'bilimkurgu', 'sci-fy', 'home', 'fantasy-scifi', 's-f', 'male-author', 'speculative', 'fiction-scifi', 're-read', '1980s', 'philosophy']","['science-fiction', 'sci-fi', 'scifi', 'asimov', 'sf', 'isaac-asimov', 'sci-fi-fantasy', 'foundation', 'classics', 'science', 'series', 'space-opera', 'fantascienza', 'fantasy', 'scifi-fantasy', 'novels', 'foundation-series', 'science-fiction-fantasy', 'ciencia-ficción', 'novel', 'space', 'speculative-fiction', 'ciencia-ficcion', 'sf-fantasy', 'fantasy-sci-fi', 'classic', 'classic-sci-fi', 'have', 'adventure', 'asimov-isaac', 'unread', 'sff', 'sciencefiction', 'e-book', 'science-fiction-and-fantasy', 'i-own', 'literature', 'paperback', 'american', 'foundation-universe', 'wish-list', 'sci-fi-and-fantasy', 'own-it', 'finished', 'audible', 'on-kindle', 'audio-books', 'fiction-sci-fi', 'robots', 'borrowed', 'asimov-foundation', 'bilim-kurgu', 'hard-sf', 'bookshelf', 'fantasy-sf', 'home-library', 'tbr', 'owned-to-read', 'audio-book', 'a', 'paper', '20th-century', 'hardcover', 'sf-f', 'future', 'bilimkurgu', 'sci-fy', 'home', 'fantasy-scifi', 's-f', 'male-author', 'speculative', 'fiction-scifi', '1980s', 'philosophy']",science-fiction
4,3515105708,0380789035,True,"['to-read', 'currently-reading', 'fantasy', 'favorites', 'fiction', 'owned', 'urban-fantasy', 'mythology', 'books-i-own', 'audiobook', 'audiobooks', 'science-fiction', 'sci-fi-fantasy', 'kindle', 'neil-gaiman', 'sci-fi', 'dnf', 'favourites', 'adult', 'contemporary', 'abandoned', 'book-club', 'did-not-finish', 'audio', 'novels', 'horror', 'library', 'owned-books', 'fantasy-sci-fi', 'ebook', 'magical-realism', 'to-buy', 'supernatural', 'audible', 'scifi-fantasy', 'adult-fiction', 'paranormal', 'adventure', 'read-in-2017', 'default', 'mystery', 'magic', 'unfinished', 'series', 'religion', 'gaiman', 'my-library', 're-read', 'on-hold', 'my-books', 'ebooks', 'novel', 'books', 'english', 'audio-books', 'science-fiction-fantasy', 'classics', 'speculative-fiction', 'audio-book', 'tbr', 'contemporary-fiction', 'all-time-favorites', 'literature', 'fantasy-scifi', 'didn-t-finish', 'gods', 'read-2017', 'wish-list', 'modern-fantasy', 'scifi', 'i-own', 'read-in-2016', 'thriller', 'general-fiction', 'favorite-books', 'british', 'reread', 'e-book', 'sff', 'sci-fi-and-fantasy', 'favorite', 'gave-up-on', 'read-in-2018', 'hugo-award', '5-stars', 'sf', 'american', 'couldn-t-finish', 'own-it', 'recommended', 'read-in-2015', '21st-century', 'on-my-shelf', 'home-library', 'hugo', 'fantasia', 'bookshelf', 'america', 'fiction-fantasy', 'gave-up']","['fantasy', 'urban-fantasy', 'mythology', 'science-fiction', 'sci-fi-fantasy', 'neil-gaiman', 'sci-fi', 'dnf', 'adult', 'contemporary', 'abandoned', 'book-club', 'did-not-finish', 'novels', 'horror', 'fantasy-sci-fi', 'magical-realism', 'supernatural', 'audible', 'scifi-fantasy', 'adult-fiction', 'paranormal', 'adventure', 'read-in-2017', 'mystery', 'magic', 'unfinished', 'series', 'religion', 'gaiman', 'on-hold', 'novel', 'audio-books', 'science-fiction-fantasy', 'classics', 'speculative-fiction', 'audio-book', 'tbr', 'contemporary-fiction', 'all-time-favorites', 'literature', 'fantasy-scifi', 'didn-t-finish', 'gods', 'read-2017', 'wish-list', 'modern-fantasy', 'scifi', 'i-own', 'read-in-2016', 'thriller', 'general-fiction', 'favorite-books', 'reread', 'e-book', 'sff', 'sci-fi-and-fantasy', 'favorite', 'gave-up-on', 'read-in-2018', 'hugo-award', '5-stars', 'sf', 'american', 'couldn-t-finish', 'own-it', 'recommended', 'read-in-2015', '21st-century', 'on-my-shelf', 'home-library', 'hugo', 'fantasia', 'bookshelf', 'america', 'fiction-fantasy', 'gave-up']",fantasy
5,3515100207,0060502932,True,"['to-read', 'fantasy', 'discworld', 'currently-reading', 'fiction', 'favorites', 'humor', 'terry-pratchett', 'owned', 'humour', 'pratchett', 'comedy', 'default', 'sci-fi-fantasy', 'audiobook', 'series', 'funny', 'favourites', 'audiobooks', 'satire', 'books-i-own', 'kindle', 'fantasy-sci-fi', 'ebook', 'audio', 'library', 'scifi-fantasy', 'science-fiction', 'sci-fi', 'novels', 'humorous', 'english', 'owned-books', 'adult', 'high-fantasy', 'comic-fantasy', 'british', 'to-buy', 'my-books', 're-read', 'magic', 'my-library', 'sff', 'science-fiction-fantasy', 'ebooks', 'speculative-fiction', 'fantasy-scifi', 'genre-fantasy', 'adult-fiction', 'book-club', 'books', 'adventure', 'sci-fi-and-fantasy', 'audio-book', 'fun', 'audible', 'audio-books', 'sf-fantasy', 'disc-world', 'pratchett-terry', 'novel', 'fantasy-humour', 'fantasy-and-sci-fi', 'young-adult', 'borrowed', 'sf', 'fantasy-humor', '2000s', 'hilarious', 'sf-f', 'read-in-2015', 'calibre', 'general', 'fantasy-fiction', 'read-in-2018', 'unread', 'urban-fantasy', 'have', 'e-books', 'discworld-series', 'place', '5-stars', 'read-in-english', 'terry-pratchet', 'series-discworld', 'read-2017', 'all-time-favorites', 'imaginary', 'service', 'postal', 'mine', 'e-book', 'fantasy-sf', 'fantasy-science-fiction', 'diskworld', 'fiction-fantasy', 'abandoned', 'reread', 'civil', 'favourite']","['fantasy', 'discworld', 'humor', 'terry-pratchett', 'humour', 'pratchett', 'comedy', 'sci-fi-fantasy', 'series', 'funny', 'satire', 'fantasy-sci-fi', 'scifi-fantasy', 'science-fiction', 'sci-fi', 'novels', 'humorous', 'adult', 'high-fantasy', 'comic-fantasy', 'magic', 'sff', 'science-fiction-fantasy', 'speculative-fiction', 'fantasy-scifi', 'genre-fantasy', 'adult-fiction', 'book-club', 'adventure', 'sci-fi-and-fantasy', 'audio-book', 'fun', 'audible', 'audio-books', 'sf-fantasy', 'disc-world', 'pratchett-terry', 'novel', 'fantasy-humour', 'fantasy-and-sci-fi', 'young-adult', 'borrowed', 'sf', 'fantasy-humor', '2000s', 'hilarious', 'sf-f', 'read-in-2015', 'fantasy-fiction', 'read-in-2018', 'unread', 'urban-fantasy', 'have', 'discworld-series', 'place', '5-stars', 'read-in-english', 'terry-pratchet', 'series-discworld', 'read-2017', 'all-time-favorites', 'imaginary', 'service', 'postal', 'mine', 'e-book', 'fantasy-sf', 'fantasy-science-fiction', 'diskworld', 'fiction-fantasy', 'abandoned', 'reread', 'civil', 'favourite']",fantasy
6,3515099933,0345404475,True,"['to-read', 'science-fiction', 'currently-reading', 'sci-fi', 'fiction', 'favorites', 'classics', 'scifi', 'dystopia', 'owned', 'dystopian', 'cyberpunk', 'sci-fi-fantasy', 'sf', 'books-i-own', 'fantasy', 'classic', 'novels', 'kindle', 'to-buy', 'favourites', 'library', '1001-books', 'audiobook', 'default', 'ebook', 'american', 'book-club', 'post-apocalyptic', 'speculative-fiction', 'scifi-fantasy', 'philip-k-dick', 'fantasy-sci-fi', 'owned-books', 'literature', 'science-fiction-fantasy', 'novel', '20th-century', 'audiobooks', '1001', 'books', 'adult', 'sf-masterworks', 'fantascienza', 'ciencia-ficción', 'english', 'ebooks', 'my-library', 'robots', 'audio', 'science', 'american-literature', '1001-books-to-read-before-you-die', 'usa', 'sci-fi-and-fantasy', 'my-books', 'philosophy', 'school', 'wish-list', '1960s', 'read-in-2017', 'to-read-fiction', 'sff', 'pkd', 'fantasy-scifi', 're-read', 'bookclub', 'ciencia-ficcion', 'modern-classics', 'sf-fantasy', 'crime', 'classic-sci-fi', 'dystopias', 'adult-fiction', 'dnf', 'bookshelf', 'artificial-intelligence', 'e-book', 'read-in-english', 'audible', 'read-in-2018', 'abandoned', 'androids', 'futuristic', 'read-2017', 'dystopian-fiction', 'distopia', 'mystery', 'tbr', 'thriller', '100-books-bucket-list', 'have', 'read-in-2019', 'series', 'sword-and-laser', 'favorite', 'i-own', 'science-fiction-and-fantasy', 'borrowed', 'read-in-2015']","['science-fiction', 'sci-fi', 'classics', 'scifi', 'dystopia', 'dystopian', 'cyberpunk', 'sci-fi-fantasy', 'sf', 'fantasy', 'classic', 'novels', '1001-books', 'american', 'book-club', 'post-apocalyptic', 'speculative-fiction', 'scifi-fantasy', 'philip-k-dick', 'fantasy-sci-fi', 'literature', 'science-fiction-fantasy', 'novel', '20th-century', '1001', 'adult', 'sf-masterworks', 'fantascienza', 'ciencia-ficción', 'robots', 'science', 'american-literature', '1001-books-to-read-before-you-die', 'usa', 'sci-fi-and-fantasy', 'philosophy', 'school', 'wish-list', '1960s', 'read-in-2017', 'to-read-fiction', 'sff', 'pkd', 'fantasy-scifi', 'bookclub', 'ciencia-ficcion', 'modern-classics', 'sf-fantasy', 'crime', 'classic-sci-fi', 'dystopias', 'adult-fiction', 'dnf', 'bookshelf', 'artificial-intelligence', 'e-book', 'read-in-english', 'audible', 'read-in-2018', 'abandoned', 'androids', 'futuristic', 'read-2017', 'dystopian-fiction', 'distopia', 'mystery', 'tbr', 'thriller', '100-books-bucket-list', 'have', 'read-in-2019', 'series', 'sword-and-laser', 'favorite', 'i-own', 'science-fiction-and-fantasy', 'borrowed', 'read-in-2015']",science-fiction
7,3515099637,0061928127,True,"['to-read', 'currently-reading', 'fiction', 'book-club', 'historical-fiction', 'favorites', 'italy', 'romance', 'books-i-own', 'kindle', 'audiobook', 'audiobooks', 'owned', 'contemporary-fiction', 'audio', 'contemporary', 'bookclub', 'adult-fiction', 'adult', 'library', 'literary-fiction', 'abandoned', 'novels', 'historical', 'audible', 'read-in-2013', 'did-not-finish', 'book-club-books', 'travel', 'read-in-2014', 'audio-books', 'ebook', 'hollywood', 'audio-book', 'chick-lit', 'general-fiction', 'didn-t-finish', 'read-2013', 'book-group', 'literature', 'read-in-2012', 'summer-reads', 'owned-books', 'beach-reads', 'dnf', 'to-buy', 'read-in-2015', 'couldn-t-finish', 'europe', 'book-club-reads', 'novel', 'realistic-fiction', 'drama', 'own-it', 'read-2014', '2013-reads', 'to-read-fiction', '2013-books', 'relationships', 'unfinished', 'wish-list', 'my-books', 'ebooks', 'recommended', 'literary', 'library-book', 'read-in-2016', 'e-book', 'summer', 'maybe', 'summer-reading', '1960s', 'read-2012', 'california', '21st-century', 'my-library', 'modern-fiction', 'nook', 'read-in-2017', 'american', 'family', '2013-read', 'gave-up', 'listened-to', '2014-books', 'on-my-shelf', 'finished', 'borrowed', 'read-2017', 'read-2015', 'default', 'own-to-read', 'i-own', 'listened', 'home-library', 'love', 'library-books', '2012-books', 'favorite-books', 'cultural']","['book-club', 'historical-fiction', 'italy', 'romance', 'contemporary-fiction', 'contemporary', 'bookclub', 'adult-fiction', 'adult', 'literary-fiction', 'abandoned', 'novels', 'historical', 'audible', 'read-in-2013', 'did-not-finish', 'book-club-books', 'travel', 'read-in-2014', 'audio-books', 'hollywood', 'audio-book', 'chick-lit', 'general-fiction', 'didn-t-finish', 'read-2013', 'book-group', 'literature', 'read-in-2012', 'summer-reads', 'beach-reads', 'dnf', 'read-in-2015', 'couldn-t-finish', 'europe', 'book-club-reads', 'novel', 'realistic-fiction', 'drama', 'own-it', 'read-2014', '2013-reads', 'to-read-fiction', '2013-books', 'relationships', 'unfinished', 'wish-list', 'recommended', 'literary', 'library-book', 'read-in-2016', 'e-book', 'summer', 'maybe', 'summer-reading', '1960s', 'read-2012', 'california', '21st-century', 'modern-fiction', 'nook', 'read-in-2017', 'american', 'family', '2013-read', 'gave-up', 'listened-to', '2014-books', 'on-my-shelf', 'finished', 'borrowed', 'read-2017', 'read-2015', 'own-to-read', 'i-own', 'listened', 'home-library', 'love', 'library-books', '2012-books', 'favorite-books', 'cultural']",book-club
8,3515099147,0553448129,True,"['to-read', 'currently-reading', 'science-fiction', 'sci-fi', 'fiction', 'scifi', 'audiobook', 'owned', 'audiobooks', 'favorites', 'audible', 'read-in-2018', 'books-i-own', 'audio', 'space', 'sci-fi-fantasy', 'kindle', 'library', 'book-club', 'dnf', 'adult', 'read-2018', 'fantasy', 'read-in-2017', 'thriller', 'adventure', 'ebook', 'sf', 'audio-books', 'abandoned', 'netgalley', 'fantasy-sci-fi', 'to-buy', 'did-not-finish', 'read-2017', 'adult-fiction', 'crime', '2018-reads', 'owned-books', 'science', 'botm', '2018-books', 'read-in-2019', 'scifi-fantasy', 'mystery', '2018-reading-challenge', 'novels', 'arc', 'audio-book', 'ebooks', '2018-read', 'book-of-the-month', 'tbr', 'read-2019', 'science-fiction-fantasy', 'maybe', '2017-releases', 'stand-alone', 'english', 'wish-list', 'action', 'humor', '2017-reads', 'my-library', 'owned-tbr', 'novel', 'my-books', 'speculative-fiction', 'sci-fi-and-fantasy', 'e-book', 'suspense', 'library-books', '2018-challenge', 'reviewed', 'fantasy-scifi', 'andy-weir', 'default', '2017-read', 'future', '2017-books', 'to-read-fiction', 'books-read-in-2018', 'young-adult', 'borrowed', 'futuristic', 'didn-t-finish', 'physical-tbr', 'standalone', 'sff', '2019-reads', 'listened', 'i-own', 'bookclub', 'space-opera', 'library-book', 'moon', 'heist', 'books', 'have', 'want-to-buy']","['science-fiction', 'sci-fi', 'scifi', 'audible', 'read-in-2018', 'space', 'sci-fi-fantasy', 'book-club', 'dnf', 'adult', 'read-2018', 'fantasy', 'read-in-2017', 'thriller', 'adventure', 'sf', 'audio-books', 'abandoned', 'netgalley', 'fantasy-sci-fi', 'did-not-finish', 'read-2017', 'adult-fiction', 'crime', '2018-reads', 'science', 'botm', '2018-books', 'read-in-2019', 'scifi-fantasy', 'mystery', '2018-reading-challenge', 'novels', 'arc', 'audio-book', '2018-read', 'book-of-the-month', 'tbr', 'read-2019', 'science-fiction-fantasy', 'maybe', '2017-releases', 'stand-alone', 'wish-list', 'action', 'humor', '2017-reads', 'owned-tbr', 'novel', 'speculative-fiction', 'sci-fi-and-fantasy', 'e-book', 'suspense', 'library-books', '2018-challenge', 'reviewed', 'fantasy-scifi', 'andy-weir', '2017-read', 'future', '2017-books', 'to-read-fiction', 'books-read-in-2018', 'young-adult', 'borrowed', 'futuristic', 'didn-t-finish', 'physical-tbr', 'standalone', 'sff', '2019-reads', 'listened', 'i-own', 'bookclub', 'space-opera', 'library-book', 'moon', 'heist', 'have', 'want-to-buy']",science-fiction
9,3515098285,1542047196,False,"['to-read', 'currently-reading', 'non-fiction', 'nonfiction', 'memoir', 'kindle', 'biography', 'history', 'north-korea', 'memoirs', 'owned', 'favorites', 'biography-memoir', 'asia', 'audiobook', 'ebook', 'audible', 'books-i-own', 'audiobooks', 'korea', 'read-in-2018', 'autobiography', 'ebooks', 'kindle-unlimited', 'book-club', 'translated', 'kindle-books', 'biographies', 'kindle-first', 'memoir-biography', 'japan', 'audio', 'read-2018', 'historical', 'on-kindle', 'politics', 'read-in-2019', 'e-books', 'girly-book-club', 'own-kindle', 'kindle-tbr', 'to-buy', 'own-ebook', 'biographies-memoirs', 'e-book', '2018-read', 'translation', 'adult', '2018-reads', 'tbr', 'owned-kindle', 'read-2019', 'biography-autobiography', '2018-books', 'on-my-kindle', 'non-fic', 'to-read-nonfiction', '2019-books', 'biographies-and-memoirs', 'political', 'fiction', 'asian', 'memoir-autobiography', 'around-the-world', 'owned-ebook', 'in-translation', 'autobiography-memoir', 'amazon-first-reads', 'survival', '2019-reads', 'library', 'japanese', 'biography-and-memoir', 'kindle-owned', '2018-releases', 'purchased', 'amazon', 'memoir-bio', 'world-book-day', 'to-read-non-fiction', 'kindle-library', 'memoirs-biographies', '2018-reading-challenge', 'contemporary', 'cultural', 'international', 'owned-tbr', 'bio', 'own-to-read', 'free', 'maybe', 'audio-book', 'auto-biography', 'first-reads', 'bio-memoir', 'read-in-2020', 'audio-books', 'biography-autobiography-memoir', 'east-asia', 'human-rights']","['memoir', 'biography', 'history', 'north-korea', 'memoirs', 'biography-memoir', 'asia', 'audible', 'korea', 'read-in-2018', 'autobiography', 'kindle-unlimited', 'book-club', 'translated', 'kindle-books', 'biographies', 'kindle-first', 'memoir-biography', 'japan', 'read-2018', 'historical', 'on-kindle', 'politics', 'read-in-2019', 'girly-book-club', 'own-kindle', 'kindle-tbr', 'own-ebook', 'biographies-memoirs', 'e-book', '2018-read', 'translation', 'adult', '2018-reads', 'tbr', 'owned-kindle', 'read-2019', 'biography-autobiography', '2018-books', 'on-my-kindle', 'non-fic', 'to-read-nonfiction', '2019-books', 'biographies-and-memoirs', 'political', 'asian', 'memoir-autobiography', 'around-the-world', 'owned-ebook', 'in-translation', 'autobiography-memoir', 'amazon-first-reads', 'survival', '2019-reads', 'japanese', 'biography-and-memoir', 'kindle-owned', '2018-releases', 'purchased', 'amazon', 'memoir-bio', 'world-book-day', 'to-read-non-fiction', 'kindle-library', 'memoirs-biographies', '2018-reading-challenge', 'contemporary', 'cultural', 'international', 'owned-tbr', 'bio', 'own-to-read', 'free', 'maybe', 'audio-book', 'auto-biography', 'first-reads', 'bio-memoir', 'read-in-2020', 'audio-books', 'biography-autobiography-memoir', 'east-asia', 'human-rights']",memoir
10,3515098036,0544272994,False,"['to-read', 'currently-reading', 'non-fiction', 'science', 'nonfiction', 'humor', 'favorites', 'owned', 'audiobook', 'audiobooks', 'humour', 'kindle', 'books-i-own', 'physics', 'library', 'to-buy', 'audio', 'funny', 'comedy', 'audible', 'popular-science', 'ebook', 'read-in-2015', 'owned-books', 'comics', 'abandoned', 'default', 'to-read-non-fiction', 'english', 'audio-books', 'ebooks', 'to-read-nonfiction', 'adult', 'audio-book', 'wish-list', 'did-not-finish', 'favourites', 'fun', 'non-fic', 'kindle-unlimited', 'other', 'non-fiction-to-read', 'reference', 'on-hold', 'nonfic', 'dnf', 'educational', 'bill-gates', 'science-fiction', 'read-2015', 'book-club', 'fiction', 'maybe', 'read-in-2017', 'read-in-2016', 'unfinished', 'philosophy', 'my-library', 'my-books', 'want-to-buy', 'read-in-2014', 'books', 'read-2016', 'technology', 'non-fiction-science', 'education', 'read-in-2019', 'borrowed', 'mathematics', 'math', 'pop-science', 'bookshelf', 'e-book', 'essays', 'read-in-2018', 'must-read', 'american', 'e-books', 'general-science', 'science-technology', 'sci-fi', '5-stars', 'nonfiction-to-read', 'have', 'physical', 'didn-t-finish', 'stem', 'paused', 'misc', 'read-in-english', 'overdrive', 'recommended', 'scientific', 'science-nature', 'home-library', 'nonfiction-science', 'read-2017', 'tbr', 'sciences', 'humorous']","['science', 'humor', 'humour', 'physics', 'funny', 'comedy', 'audible', 'popular-science', 'read-in-2015', 'comics', 'abandoned', 'to-read-non-fiction', 'audio-books', 'to-read-nonfiction', 'adult', 'audio-book', 'wish-list', 'did-not-finish', 'fun', 'non-fic', 'kindle-unlimited', 'other', 'non-fiction-to-read', 'reference', 'on-hold', 'nonfic', 'dnf', 'educational', 'bill-gates', 'science-fiction', 'read-2015', 'book-club', 'maybe', 'read-in-2017', 'read-in-2016', 'unfinished', 'philosophy', 'want-to-buy', 'read-in-2014', 'read-2016', 'technology', 'non-fiction-science', 'education', 'read-in-2019', 'borrowed', 'mathematics', 'math', 'pop-science', 'bookshelf', 'e-book', 'essays', 'read-in-2018', 'must-read', 'american', 'general-science', 'science-technology', 'sci-fi', '5-stars', 'nonfiction-to-read', 'have', 'physical', 'didn-t-finish', 'stem', 'paused', 'misc', 'read-in-english', 'overdrive', 'recommended', 'scientific', 'science-nature', 'home-library', 'nonfiction-science', 'read-2017', 'tbr', 'sciences', 'humorous']",science
